request,start_ns,first_text_ms,input_preparation_ms,prefill_api_ms,decode_api_ms,request_ms,input_tokens,decode_tokens,decode_benchmark_tokens_s,text_callbacks,output_utf8_bytes,output_sha256,error,decode_wall_tokens_s
0,427828714749190,1123.918281,8.502396,259.639479,12089.507652,12471.260308,77,201,16.626304630245432,200,1070,b9a22dfb93338b4dda05ce5a04316b5969a654caf0ce15577321d8907588507e,,16.62598724330581
1,427841224644342,390.736562,3.990364,241.416719,11258.048121,11613.225829,77,201,17.85411423880968,200,1070,b9a22dfb93338b4dda05ce5a04316b5969a654caf0ce15577321d8907588507e,,17.85389419548387
2,427852859568608,368.285,3.844375,224.344843,11351.794423,11698.745464,77,201,17.70690123795929,200,1070,b9a22dfb93338b4dda05ce5a04316b5969a654caf0ce15577321d8907588507e,,17.70645173002355
3,427864581873239,419.209375,3.860938,252.958802,13741.874995,14161.15588,77,201,14.627573556570432,200,1070,b9a22dfb93338b4dda05ce5a04316b5969a654caf0ce15577321d8907588507e,,14.626824947333178
4,427878783970213,662.883437,6.674531,395.134687,20709.899836,21304.364002,77,201,9.705975127619475,200,1070,b9a22dfb93338b4dda05ce5a04316b5969a654caf0ce15577321d8907588507e,,9.705503242009982
5,427900128724528,663.193437,6.430833,395.538073,20706.184471,21300.783637,77,201,9.707491589177303,200,1070,b9a22dfb93338b4dda05ce5a04316b5969a654caf0ce15577321d8907588507e,,9.707244725918002
6,427921469224728,668.683229,6.510364,396.224844,20592.845304,21184.255356,77,201,9.760816151040672,200,1070,b9a22dfb93338b4dda05ce5a04316b5969a654caf0ce15577321d8907588507e,,9.760671584366117
7,427942693940709,653.979688,10.262448,395.088854,20561.982336,21150.151346,77,201,9.775488726209351,200,1070,b9a22dfb93338b4dda05ce5a04316b5969a654caf0ce15577321d8907588507e,,9.775322083031284
8,427963884844087,661.702291,7.378489,395.607136,20672.080513,21259.057439,77,201,9.72343715171924,200,1070,b9a22dfb93338b4dda05ce5a04316b5969a654caf0ce15577321d8907588507e,,9.72325934361554
9,427985182961214,648.476406,6.769427,398.875676,20670.497232,21250.364575,77,201,9.72432719589997,200,1070,b9a22dfb93338b4dda05ce5a04316b5969a654caf0ce15577321d8907588507e,,9.724004108078825
10,428006477368758,662.568958,6.818281,396.667708,20677.808065,21272.479679,77,201,9.72070690621245,200,1070,b9a22dfb93338b4dda05ce5a04316b5969a654caf0ce15577321d8907588507e,,9.72056609521489
11,428027793647916,662.673229,7.132344,396.498593,20684.468586,21282.814419,77,201,9.717643585704154,200,1070,b9a22dfb93338b4dda05ce5a04316b5969a654caf0ce15577321d8907588507e,,9.717436015544733
12,428049116788169,665.384583,6.502968,396.990677,20700.802179,21291.432804,77,201,9.709902134951427,200,1070,b9a22dfb93338b4dda05ce5a04316b5969a654caf0ce15577321d8907588507e,,9.709768648671265
13,428070450418004,668.000365,6.737917,398.322083,20700.012024,21301.416919,77,201,9.710335502017877,200,1070,b9a22dfb93338b4dda05ce5a04316b5969a654caf0ce15577321d8907588507e,,9.710139287211847
14,428091791404611,666.156562,6.752187,397.409791,20703.221086,21290.353429,77,201,9.708829143391343,200,1070,b9a22dfb93338b4dda05ce5a04316b5969a654caf0ce15577321d8907588507e,,9.708634186200177
