backend,context,repeat,prefill_tok_s,decode_tok_s,init_s,ttft_s,peak_mem
cpu,256,1,20.18,9.09,13.086,12.80,0000
cpu,256,2,19.93,9.85,13.293,12.95,0000
cpu,256,3,19.34,10.09,0.752,13.34,0000
cpu,1024,1,77.76,10.00,0.989,13.27,0000
cpu,1024,2,79.89,9.89,12.955,12.92,0000
cpu,1024,3,79.11,10.11,12.787,13.04,0000
cpu,4096,1,62.32,6.98,0.976,65.87,0000
cpu,4096,2,62.60,6.84,1.102,65.58,0000
cpu,4096,3,62.78,8.00,0.955,65.37,0000
gpu,256,1,261.56,18.26,17.085,1.03,0000
gpu,256,2,258.29,18.77,16.194,1.04,0000
gpu,256,3,255.96,19.47,16.563,1.05,0000
gpu,1024,1,936.60,18.79,16.250,1.15,0000
gpu,1024,2,973.70,19.05,16.325,1.10,0000
gpu,1024,3,957.21,18.84,16.186,1.12,0000
gpu,4096,1,858.63,17.53,17.481,4.83,0000
gpu,4096,2,858.04,17.42,18.038,4.83,0000
gpu,4096,3,862.27,17.30,17.923,4.81,0000
