backend,mtp,repeat,prefill_tok_s,decode_tok_s,init_s,ttft_s,peak_mem
cpu,false,1,81.25,9.82,1.099,12.70,0000
cpu,false,2,77.71,9.98,12.880,13.28,0000
cpu,false,3,78.36,10.00,0.924,13.17,0000
cpu,true,1,49.93,2.77,13.796,20.87,0000
cpu,true,2,49.30,2.77,21.602,21.13,0000
cpu,true,3,50.31,2.78,21.716,20.71,0000
gpu,false,1,1016.94,17.70,23.120,1.06,0000
gpu,false,2,987.30,18.22,23.916,1.09,0000
gpu,false,3,1009.58,17.96,23.057,1.07,0000
gpu,true,1,955.06,12.63,25.560,1.15,0000
gpu,true,2,976.62,12.56,25.298,1.13,0000
gpu,true,3,1014.90,12.72,25.239,1.09,0000
