backend,context,repeat,prefill_tok_s,decode_tok_s,init_s,ttft_s
cpu,256,1,65.63,24.81,0.5308,3.9407
cpu,256,2,65.49,24.83,0.5390,3.9491
cpu,256,3,65.59,24.83,0.5424,3.9435
cpu,1024,1,261.47,24.58,0.5340,3.9570
cpu,1024,2,259.16,24.73,0.5440,3.9917
cpu,1024,3,258.21,24.71,0.5516,4.0062
cpu,4096,1,226.54,20.66,0.5778,18.1294
cpu,4096,2,226.69,20.66,0.5707,18.1169
cpu,4096,3,225.31,20.67,0.5603,18.2277
gpu,256,1,164.89,46.64,5.2911,1.5740
gpu,256,2,262.21,50.88,1.7555,0.9960
gpu,256,3,259.76,50.58,1.7492,1.0053
gpu,1024,1,1003.66,50.63,1.7977,1.0400
gpu,1024,2,999.14,50.56,1.7668,1.0447
gpu,1024,3,998.56,50.47,1.7618,1.0453
gpu,4096,1,925.19,42.80,4.7749,4.4506
gpu,4096,2,921.89,45.74,1.7482,4.4649
gpu,4096,3,925.65,45.61,1.7809,4.4469
