backend,max_num_tokens,prompt_tokens,repeat,prefill_tok_s,decode_tok_s,init_s,ttft_s,status
cpu,1024,256,1,0.00,0.00,0.9982,0.0000,failed
cpu,1024,256,2,0.00,0.00,0.3580,0.0000,failed
cpu,2048,256,1,51.95,23.45,0.3711,4.9708,ok
cpu,2048,256,2,71.71,29.54,0.3631,3.6040,ok
cpu,4096,256,1,66.08,26.43,0.3773,3.9122,ok
cpu,4096,256,2,66.09,26.38,0.3790,3.9116,ok
cpu,8192,256,1,57.66,21.52,0.3944,4.4864,ok
cpu,8192,256,2,57.86,21.43,0.3955,4.4708,ok
cpu,1024,100,1,206.38,33.86,,0.5141,ok
cpu,1024,100,2,205.82,34.01,,0.5153,ok
