backend,mtp,repeat,prefill_tok_s,decode_tok_s,init_s,ttft_s
cpu,false,1,167.55,20.11,0.6160,6.1614
cpu,false,2,239.93,22.77,0.5636,4.3118
cpu,false,3,241.33,24.90,0.5437,4.2834
cpu,auto,1,244.05,25.13,0.5440,4.2356
cpu,auto,2,244.34,24.92,0.5418,4.2309
cpu,auto,3,244.04,24.47,0.5628,4.2370
gpu,false,1,975.92,44.10,1.8573,1.0719
gpu,false,2,973.05,50.06,1.8076,1.0723
gpu,false,3,990.34,50.04,1.7915,1.0540
gpu,auto,1,1005.77,50.19,1.7826,1.0380
gpu,auto,2,1001.57,50.17,1.7732,1.0423
gpu,auto,3,1004.17,50.18,1.7718,1.0397
